var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,outcome,panel,estimator,model_id
Pre_avg,.0065688561,.026192706,.2507895156783815,.8019768478684606,-.0447679044994128,.0579056166427744,1720,l_est,4d,ols,36
Post_avg,.18311708,.15485159,1.182532784624661,.2369943649177648,-.1203864540224905,.4866206075316305,1720,l_est,4d,ols,36
Tm5,.016625106,.044797402,.3711176460853784,.7105499083910805,-.0711761879417855,.104426400611158,1720,l_est,4d,ols,36
Tm4,.031543177,.036804006,.8570582519358267,.3914126920254835,-.040591348652778,.1036777018951753,1720,l_est,4d,ols,36
Tm3,.090838782,.13820598,.6572710209959282,.5110066664017769,-.1800399515353945,.361717516513994,1720,l_est,4d,ols,36
Tm2,-.062959515,.043300722,-1.454006121590932,.1459446090133285,-.1478273697798628,.0219083406632323,1720,l_est,4d,ols,36
Tm1,-.043203264,.068450168,-.631163748448117,.5279334624612153,-.177363128049895,.0909565991001575,1720,l_est,4d,ols,36
Tp0,.046529096,.058614414,.7938166109249878,.4273022009695966,-.0683530451581564,.1614112363979903,1720,l_est,4d,ols,36
Tp1,.079930402,.050355386,1.587325779928359,.1124388793773898,-.0187643406274515,.1786251453044611,1720,l_est,4d,ols,36
Tp2,.14782096,.12905066,1.145449141573936,.2520231517091982,-.1051136757457556,.4007556046569647,1720,l_est,4d,ols,36
Tp3,.058493081,.16780993,.3485674553750848,.7274140639318087,-.2704083442788316,.3873945072393609,1720,l_est,4d,ols,36
Tp4,.12594359,.17091139,.736894063813001,.4611867742581677,-.209036576071315,.460923748531871,1720,l_est,4d,ols,36
Tp5,.13637991,.18579657,.7340281348414741,.4629315909838692,-.2277746805212522,.5005345055124784,1720,l_est,4d,ols,36
Tp6,.21093115,.18906014,1.115682849986495,.2645579141401584,-.1596199066915246,.5814822109021874,1720,l_est,4d,ols,36
Tp7,.19959313,.18959525,1.052732726048652,.2924635053089719,-.1720067393258666,.5711929928735351,1720,l_est,4d,ols,36
Tp8,.19006884,.19182268,.990856988913697,.3217554170727055,-.1858966990249169,.5660343809859765,1720,l_est,4d,ols,36
Tp9,.23506148,.1999788,1.175432011832776,.2398219226334737,-.1568897613871412,.6270127245772199,1720,l_est,4d,ols,36
Tp10,.25479323,.20407875,1.248504453253344,.2118463785938918,-.1451937709826293,.6547802244204344,1720,l_est,4d,ols,36
Tp11,.27839255,.21230343,1.311295599589035,.1897579144979498,-.1377145229551689,.6944996296141045,1720,l_est,4d,ols,36
Tp12,.2842932,.21749251,1.307140231609706,.1911650898141672,-.1419842739410944,.7105706830330438,1720,l_est,4d,ols,36
Tp13,.31540853,.22088274,1.427945536689471,.1533075353352995,-.1175136944054704,.7483307501076799,1720,l_est,4d,ols,36
Pre_avg,.009155903,.027986126,.3271586429946428,.7435478992739066,-.0456958960555182,.0640077020786391,1720,l_est,4d,dr,35
Post_avg,.19861905,.15642893,1.269707903622942,.2041886964215689,-.1079760223337571,.5052141278692643,1720,l_est,4d,dr,35
