var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,outcome,panel,estimator,model_id
Pre_avg,-.006738177,.051815581,-.1300415234185236,.896533574661573,-.1082948488032872,.0948184947332794,1711,l_ship,4d,ols,4
Post_avg,.54524899,.22231418,2.452605532770678,.0141825770781248,.1095212013084119,.9809767692726428,1711,l_ship,4d,ols,4
Tm5,.066030949,.11545794,.5719047710312449,.5673864916089375,-.1602624637359149,.2923243624442584,1711,l_ship,4d,ols,4
Tm4,.017068755,.06587895,.2590926975342913,.7955637189989924,-.1120516145741437,.1461891243373845,1711,l_ship,4d,ols,4
Tm3,-.16171621,.31072187,-.5204532453950165,.6027477070760869,-.770719890575323,.4472874748515223,1711,l_ship,4d,ols,4
Tm2,-.04653959,.18361019,-.2534695420849642,.7999053947199131,-.4064089414797505,.3133297619543751,1711,l_ship,4d,ols,4
Tm1,.091465205,.19827767,.4612985731677192,.6445844084921408,-.2971518816274856,.4800822915357803,1711,l_ship,4d,ols,4
Tp0,.12297334,.14361225,.8562872399976965,.3918389174625652,-.1585015013131852,.404448176852202,1711,l_ship,4d,ols,4
Tp1,.12179442,.13719751,.8877305282438065,.3746857203029437,-.1471077597077736,.3906965947087654,1711,l_ship,4d,ols,4
Tp2,.11726283,.18690108,.6274058678983401,.5303932223081054,-.2490565480024552,.4835822136432862,1711,l_ship,4d,ols,4
Tp3,.21536803,.28676137,.7510357130422989,.452631163143393,-.3466739313335007,.7774099962443893,1711,l_ship,4d,ols,4
Tp4,.40955156,.25101897,1.63155620833407,.1027730098075472,-.0824365821188682,.9015397038763755,1711,l_ship,4d,ols,4
Tp5,.54734683,.26455066,2.068967956753113,.0385490937143016,.0288370723643178,1.065856588371766,1711,l_ship,4d,ols,4
Tp6,.620736,.27777594,2.234664368677858,.0254393915117177,.0763051583230553,1.165166847521061,1711,l_ship,4d,ols,4
Tp7,.55161035,.28082499,1.964249522149337,.0495011623666832,.0012034860523309,1.10201721516532,1711,l_ship,4d,ols,4
Tp8,.59117848,.29503915,2.003728937478074,.0450991047076592,.0129123743893944,1.169444579231516,1711,l_ship,4d,ols,4
Tp9,.65331215,.30429482,2.146970943465708,.0317955949238349,.0569052497653024,1.249719043562029,1711,l_ship,4d,ols,4
Tp10,.91838443,.30099529,3.05115881361534,.0022795996408707,.3284445043288834,1.508324361256444,1711,l_ship,4d,ols,4
Tp11,.98212153,.30417019,3.228855276831136,.0012428677395744,.385958907099849,1.578284147290105,1711,l_ship,4d,ols,4
Tp12,.90180933,.3186219,2.830343188593735,.0046498098282144,.2773218788998432,1.526296790610044,1711,l_ship,4d,ols,4
Tp13,.88003606,.32216793,2.731606612370841,.0063026345742965,.2485985104130664,1.511473601670369,1711,l_ship,4d,ols,4
Pre_avg,-.0078182565,.053496145,-.1461461671103215,.8838060015615414,-.1126687734520403,.0970322604423729,1711,l_ship,4d,dr,3
Post_avg,.59230345,.2041622,2.90114168263802,.0037180572734867,.1921529050345147,.9924540047173773,1711,l_ship,4d,dr,3
Tm5,.053762171,.12292665,.4373516267958128,.6618563597361311,-.1871696400883148,.2946939829232643,1711,l_ship,4d,dr,3
Tm4,-.00090499519,.053775385,-.0168291717670392,.986572897485255,-.1063028130895915,.1044928227068382,1711,l_ship,4d,dr,3
Tm3,-.13947196,.28130141,-.4958096852083222,.6200286909677821,-.6908125935003452,.4118686674043827,1711,l_ship,4d,dr,3
Tm2,-.044494819,.17193411,-.2587899407737863,.7957973196535315,-.3814794879065522,.2924898501144417,1711,l_ship,4d,dr,3
Tm1,.092018321,.18065742,.5093525795808116,.6105051088825773,-.2620637088844781,.4461003511974816,1711,l_ship,4d,dr,3
Tp0,.12451947,.14338388,.8684342948573054,.3851566273044629,-.1565077571182744,.4055467067270772,1711,l_ship,4d,dr,3
Tp1,.11621041,.13025282,.8921910913236624,.3722905164037087,-.139080433913749,.3715012509313042,1711,l_ship,4d,dr,3
Tp2,.13696827,.18091519,.7570855084332749,.4489986354546185,-.217618990180382,.491555530068764,1711,l_ship,4d,dr,3
Tp3,.27688822,.26092154,1.061193429090377,.2886020049762947,-.2345085955257126,.7882850385303207,1711,l_ship,4d,dr,3
Tp4,.47689879,.20952883,2.276053281779803,.022842820783185,.0662298217728443,.8875677570388012,1711,l_ship,4d,dr,3
