var,coef,stderr,ci_lower,ci_upper,N,r2,outcome,regressortype,fixedeffects,command
"1980b.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1981o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1982o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1983o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1984o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1985o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1986o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"0b.hci#1980b.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"0b.hci#1981o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"0b.hci#1982o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"0b.hci#1983o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"0b.hci#1984o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"0b.hci#1985o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"0b.hci#1986o.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1o.hci#1980b.year",0,0,0,0,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1.hci#1981.year",.2386282,.0572374,.1261666,.35108988,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1.hci#1982.year",.2298815,.0849316,.06300558,.3967575,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1.hci#1983.year",.3010804,.0905831,.12310019,.47906062,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1.hci#1984.year",.3174018,.0948103,.13111604,.50368755,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1.hci#1985.year",.3187732,.0923385,.13734408,.50020234,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1.hci#1986.year",.3545966,.0958909,.16618759,.5430057,239598,.41819909,"tfp_ols","","id year","reghdfe"
"1980b.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1981o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1982o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1983o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1984o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1985o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1986o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"0b.hci#1980b.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"0b.hci#1981o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"0b.hci#1982o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"0b.hci#1983o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"0b.hci#1984o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"0b.hci#1985o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"0b.hci#1986o.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1o.hci#1980b.year",0,0,0,0,239598,.49896763,"tfp_op","","id year","reghdfe"
"1.hci#1981.year",.1568328,.0533673,.05197519,.26169041,239598,.49896763,"tfp_op","","id year","reghdfe"
"1.hci#1982.year",.149366,.0783979,-.00467233,.30340425,239598,.49896763,"tfp_op","","id year","reghdfe"
"1.hci#1983.year",.2416381,.0825479,.07944586,.40383036,239598,.49896763,"tfp_op","","id year","reghdfe"
"1.hci#1984.year",.2707356,.0862342,.10130029,.44017089,239598,.49896763,"tfp_op","","id year","reghdfe"
"1.hci#1985.year",.2790169,.0835156,.11492314,.44311062,239598,.49896763,"tfp_op","","id year","reghdfe"
"1.hci#1986.year",.3223225,.0886205,.14819847,.49644656,239598,.49896763,"tfp_op","","id year","reghdfe"
"1980b.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1981o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1982o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1983o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1984o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1985o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1986o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"0b.hci#1980b.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"0b.hci#1981o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"0b.hci#1982o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"0b.hci#1983o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"0b.hci#1984o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"0b.hci#1985o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"0b.hci#1986o.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1o.hci#1980b.year",0,0,0,0,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1.hci#1981.year",.0780624,.0444507,-.00927546,.16540029,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1.hci#1982.year",.0724264,.0643286,-.05396811,.19882099,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1.hci#1983.year",.1912825,.0718138,.05018092,.33238414,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1.hci#1984.year",.2230676,.0730683,.07950113,.3666341,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1.hci#1985.year",.2361948,.0711935,.09631197,.37607772,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1.hci#1986.year",.2810519,.075617,.13247753,.42962634,239598,.56969303,"tfp_lp","","id year","reghdfe"
"1980b.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1981o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1982o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1983o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1984o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1985o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1986o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"0b.hci#1980b.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"0b.hci#1981o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"0b.hci#1982o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"0b.hci#1983o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"0b.hci#1984o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"0b.hci#1985o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"0b.hci#1986o.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1o.hci#1980b.year",0,0,0,0,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1.hci#1981.year",.3418903,.1428509,.06121301,.62256766,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1.hci#1982.year",.3371824,.1736746,-.00405821,.67842307,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1.hci#1983.year",.4406739,.178338,.0902706,.79107711,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1.hci#1984.year",.4665741,.1828465,.10731246,.8258358,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1.hci#1985.year",.465034,.181321,.10876964,.82129844,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1.hci#1986.year",.5029145,.1839041,.14157468,.8642543,239598,.51007323,"tfp_acf","","id year","reghdfe"
"1980b.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1981o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1982o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1983o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1984o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1985o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1986o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"0b.hci#1980b.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"0b.hci#1981o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"0b.hci#1982o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"0b.hci#1983o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"0b.hci#1984o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"0b.hci#1985o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"0b.hci#1986o.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1o.hci#1980b.year",0,0,0,0,239598,.5594843,"tfp_w","","id year","reghdfe"
"1.hci#1981.year",.1172275,.0444003,.02998868,.20446639,239598,.5594843,"tfp_w","","id year","reghdfe"
"1.hci#1982.year",.1089275,.0565026,-.0020903,.21994535,239598,.5594843,"tfp_w","","id year","reghdfe"
"1.hci#1983.year",.234168,.0634774,.10944583,.35889025,239598,.5594843,"tfp_w","","id year","reghdfe"
"1.hci#1984.year",.2632066,.0651244,.13524831,.39116483,239598,.5594843,"tfp_w","","id year","reghdfe"
"1.hci#1985.year",.2704877,.06356,.14560318,.39537215,239598,.5594843,"tfp_w","","id year","reghdfe"
"1.hci#1986.year",.3101464,.0685707,.1754169,.44487588,239598,.5594843,"tfp_w","","id year","reghdfe"
