var,coef,stderr,ci_lower,ci_upper,N,r2,outcome,fixedeffects,command
"1.hci#1966.year#1.korea",-.1158244,.0354944,-.1907109,-.04093781,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1967.year#1.korea",-.1655381,.0187337,-.20506281,-.1260134,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1968.year#1.korea",-.0650922,.0203435,-.10801325,-.0221711,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1969.year#1.korea",.0200265,.0196018,-.02132967,.06138261,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1970.year#1.korea",-.05074,.0206835,-.09437843,-.00710165,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1971.year#1.korea",-.0528341,.0169584,-.08861323,-.01705498,26714,.93223099,"l_y_n","","reghdfe"
"1o.hci#1972b.year#1o.korea",0,0,0,0,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1973.year#1.korea",.1960671,.0177804,.15855382,.23358043,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1974.year#1.korea",.0520838,.0238009,.00186832,.10229937,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1975.year#1.korea",.0694914,.0225049,.02201019,.11697259,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1976.year#1.korea",.1040523,.0177948,.0665086,.14159594,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1977.year#1.korea",.0640588,.0203304,.02116548,.10695215,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1978.year#1.korea",-.0151771,.0202745,-.05795252,.02759833,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1979.year#1.korea",.0106686,.0221244,-.03600974,.05734693,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1980.year#1.korea",.0267438,.014688,-.00424523,.05773275,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1981.year#1.korea",.084369,.0240406,.0336478,.1350903,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1982.year#1.korea",.0900494,.0276992,.03160923,.14848952,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1983.year#1.korea",.0767922,.0252598,.02349868,.13008578,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1984.year#1.korea",.1257569,.0247485,.07354202,.17797176,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1985.year#1.korea",.1162884,.0298412,.05332901,.17924787,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1986.year#1.korea",.1337164,.0245155,.08199308,.18543964,26714,.93223099,"l_y_n","","reghdfe"
"1.hci#1966.year#1.korea",.3374166,.0994434,.1276095,.5472238,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1967.year#1.korea",.1004819,.0686072,-.04426659,.24523041,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1968.year#1.korea",.0247886,.049462,-.07956706,.1291443,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1969.year#1.korea",.100635,.0530318,-.01125231,.21252231,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1970.year#1.korea",.0153778,.046425,-.08257027,.11332595,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1971.year#1.korea",-.12732,.0422599,-.21648061,-.0381594,27904,.94020302,"l_valueadded","","reghdfe"
"1o.hci#1972b.year#1o.korea",0,0,0,0,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1973.year#1.korea",.1358306,.0542006,.02147746,.25018383,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1974.year#1.korea",.0983945,.0593515,-.02682632,.22361529,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1975.year#1.korea",.1237475,.059797,-.00241325,.24990822,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1976.year#1.korea",.2446304,.0628447,.11203964,.3772211,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1977.year#1.korea",.2093087,.0596397,.08347987,.33513758,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1978.year#1.korea",.1420328,.0609735,.01338992,.27067563,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1979.year#1.korea",.1962883,.0510754,.08852875,.30404794,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1980.year#1.korea",.2314098,.0522092,.12125795,.34156159,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1981.year#1.korea",.2261238,.0597035,.10016042,.35208723,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1982.year#1.korea",.2744863,.0832542,.09883529,.45013738,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1983.year#1.korea",.2775402,.0890023,.08976176,.46531865,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1984.year#1.korea",.359151,.0749341,.20105379,.51724816,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1985.year#1.korea",.3777563,.0741005,.2214178,.53409474,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1986.year#1.korea",.4753921,.0803815,.30580186,.64498229,27904,.94020302,"l_valueadded","","reghdfe"
"1.hci#1966.year#1.korea",.40065,.1169441,.1539195,.64738055,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1967.year#1.korea",.234668,.0779552,.07019687,.3991391,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1968.year#1.korea",.0668224,.0594533,-.05861317,.19225793,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1969.year#1.korea",.1608704,.0640223,.02579515,.29594565,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1970.year#1.korea",-.0022845,.0511511,-.1102039,.10563491,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1971.year#1.korea",-.0812472,.0467508,-.17988282,.01738845,28195,.93719204,"l_grossout","","reghdfe"
"1o.hci#1972b.year#1o.korea",0,0,0,0,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1973.year#1.korea",.0038997,.058455,-.11942951,.12722889,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1974.year#1.korea",.1038825,.0603633,-.0234729,.23123788,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1975.year#1.korea",.1064067,.0665587,-.03401997,.2468334,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1976.year#1.korea",.2188729,.0681479,.07509345,.36265242,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1977.year#1.korea",.2079885,.0637595,.07346781,.34250925,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1978.year#1.korea",.1953562,.0616961,.06518886,.32552358,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1979.year#1.korea",.2057143,.0473319,.10585278,.30557573,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1980.year#1.korea",.2164222,.0477704,.1156356,.31720889,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1981.year#1.korea",.1875162,.056138,.06907539,.305957,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1982.year#1.korea",.2579893,.0795237,.09020884,.42576973,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1983.year#1.korea",.2725454,.0797613,.10426373,.44082701,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1984.year#1.korea",.4266733,.0818379,.25401045,.5993362,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1985.year#1.korea",.3762589,.0709864,.22649067,.52602715,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1986.year#1.korea",.4639067,.0728508,.31020494,.61760841,28195,.93719204,"l_grossout","","reghdfe"
"1.hci#1966.year#1.korea",.2536176,.03735,.17481607,.3324191,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1967.year#1.korea",.1519522,.0314449,.08560923,.21829525,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1968.year#1.korea",.0280778,.0285134,-.03208025,.08823583,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1969.year#1.korea",-.0245405,.0245563,-.0763497,.02726863,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1970.year#1.korea",.0081288,.017866,-.02956517,.04582286,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1971.year#1.korea",-.1057378,.0139745,-.1352213,-.07625427,31820,.97441475,"l_workers","","reghdfe"
"1o.hci#1972b.year#1o.korea",0,0,0,0,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1973.year#1.korea",.0218734,.0182318,-.01659232,.06033903,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1974.year#1.korea",.0912371,.0224779,.04381288,.13866131,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1975.year#1.korea",.1232349,.0236638,.0733086,.17316116,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1976.year#1.korea",.1942967,.032873,.12494073,.26365259,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1977.year#1.korea",.2360965,.0328005,.16689358,.30529939,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1978.year#1.korea",.26753,.0375925,.18821676,.34684317,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1979.year#1.korea",.3189485,.033508,.24825282,.38964426,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1980.year#1.korea",.279376,.0441633,.1861996,.37255234,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1981.year#1.korea",.2423553,.0433665,.15086013,.33385056,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1982.year#1.korea",.2531293,.0521451,.14311283,.36314583,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1983.year#1.korea",.2647008,.0510259,.15704565,.37235601,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1984.year#1.korea",.3406128,.0502348,.23462662,.44659897,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1985.year#1.korea",.3814237,.0519026,.27191875,.49092867,31820,.97441475,"l_workers","","reghdfe"
"1.hci#1986.year#1.korea",.4531142,.0480384,.35176199,.55446643,31820,.97441475,"l_workers","","reghdfe"
