id	code	year	hci	product_value_share_hci	product_share_hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
2101	"2101"	1967	0	0	0	1.3538	115	1415202	2031	996454.4	37360	26.671691	324.86957	4.906126	25.73997	.0867675	.2645155	.1830074	1.616844
2101	"2101"	1968	0	0	0	1.4925	91	1422848	1363	1035377	38302	27.031928	420.9011	4.428801	21.2828	.0867675	.2645155	.1830074	1.616844
2101	"2101"	1969	0	0	0	1.7135	99	1312693	6024	891625.3	34866	25.572917	352.18182	3.696447	15.30446	.0867675	.2645155	.1830074	1.616844
2101	"2101"	1970	0	0	0	1.779	127	1568409	3108	1152052	33700	34.18551	265.35433	3.441226	17.15113	.0867675	.2645155	.1830074	1.616844
2101	"2101"	1971	0	0	0	2.05	123	1643902	2439	1189512	39943	29.780242	324.73984	4.160344	14.79655	.0867675	.2645155	.1830074	1.616844
2101	"2101"	1972	0	0	0	2.376	115	1556103	3338	1081566	39041	27.70333	339.48696	3.494618	11.84381	.0867675	.2645155	.1830074	1.616844
2102	"2102"	1967	0	0	0	3.0967	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
2102	"2102"	1968	0	0	0	3.2771	2	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
2102	"2102"	1969	0	0	0	4.5307	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
2102	"2102"	1970	0	0	0	5.6576	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
2102	"2102"	1971	0	0	0	7.4881	1	0	0	0	14	0	14	.0014582	0	.0867675	.2645155	.1830074	1.616844
2102	"2102"	1972	0	0	0	7.4668	1	40.17785	0	26.78524	0		0	0	.0002933	.0867675	.2645155	.1830074	1.616844
2109	"2109"	1967	0	0	0	1.3538	42	26296.35	124	20091.59	1441	13.942813	34.309524	.1892325	.5189973	.0867675	.2645155	.1830074	1.616844
2109	"2109"	1968	0	0	0	1.4925	47	30954.77	29	24120.6	1475	16.352952	31.382979	.170552	.4958137	.0867675	.2645155	.1830074	1.616844
2109	"2109"	1969	0	0	0	1.7135	75	60110.88	189	41552.38	2835	14.656923	37.8	.3005629	.7132331	.0867675	.2645155	.1830074	1.616844
2109	"2109"	1970	0	0	0	1.779	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
2109	"2109"	1971	0	0	0	2.05	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
2109	"2109"	1972	0	0	0	2.376	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
2301	"2301"	1967	0	0	0	3.0967	13	45435.46	216	35780.02	2691	13.296182	207	.3533829	.9242539	.1775268	.2966482	.3258087	2.228449
2301	"2301"	1968	0	0	0	3.2771	11	78575.57	435	64752.37	3461	18.709151	314.63636	.4001901	1.331024	.1775268	.2966482	.3258087	2.228449
2301	"2301"	1969	0	0	0	4.5307	14	52729.16	720	42796.92	2997	14.279919	214.07143	.317738	.7345952	.1775268	.2966482	.3258087	2.228449
2301	"2301"	1970	0	0	0	5.6576	12	42367.79	84	33158.94	2928	11.324774	244	.2989885	.4936525	.1775268	.2966482	.3258087	2.228449
2301	"2301"	1971	0	0	0	7.4881	8	25881.06	77	21968.19	1846	11.900428	230.75	.1922738	.2732661	.1775268	.2966482	.3258087	2.228449
2301	"2301"	1972	0	0	0	7.4668	12	25365.62	37	20236.25	1687	11.995403	140.58333	.1510059	.2215994	.1775268	.2966482	.3258087	2.228449
2302	"2302"	1967	0	.0000919	.0769231	3.0967	115	143733.7	907	78373.75	9536	8.2187242	82.921739	1.25227	2.024517	.1327596	.3769511	.2553754	.7451158
2302	"2302"	1968	0	.0000919	.0769231	3.2771	125	164718.8	547	96335.17	11310	8.5176987	90.48	1.307758	1.980228	.1327596	.3769511	.2553754	.7451158
2302	"2302"	1969	0	.0000919	.0769231	4.5307	100	167391.3	1047	122585.9	9961	12.306587	99.61	1.056052	2.104147	.1327596	.3769511	.2553754	.7451158
