id	code	year	hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
21010	"21010"	1970	0	1.779	127	947744.1	9736.0319	436674.2	33700	34.18551	265.35433	3.562161	16.17816	.0867675	.2645155	.1830074	1.616844
21010	"21010"	1971	0	2.05	123	1326084	8980.4653	576743.4	39943	29.780242	324.73984	4.322181	14.11757	.0867675	.2645155	.1830074	1.616844
21010	"21010"	1972	0	2.376	115	1556103	12828.655	553690.3	39041	27.70333	339.48696	3.601293	11.26916	.0867675	.2645155	.1830074	1.616844
21020	"21020"	1970	0	5.6576	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
21020	"21020"	1971	0	7.4881	1	0	0	0	14	0	14	.0015149	0	.0867675	.2645155	.1830074	1.616844
21020	"21020"	1972	0	7.4668	1	40.17785	0	26.78524	0		0	0	.0002791	.0867675	.2645155	.1830074	1.616844
21090	"21090"	1970	0	1.779	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
21090	"21090"	1971	0	2.05	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
21090	"21090"	1972	0	2.376	0	0	0	0	0	0	0	0	0	.0867675	.2645155	.1830074	1.616844
23010	"23010"	1970	0	5.6576	12	42367.79	263.136	33158.94	2928	11.324774	244	.3094957	.465648	.1775268	.2966482	.3258087	2.228449
23010	"23010"	1971	0	7.4881	8	25881.06	258.84691	21968.19	1846	11.900428	230.75	.1997533	.2607266	.1775268	.2966482	.3258087	2.228449
23010	"23010"	1972	0	7.4668	12	25365.62	131.32153	20236.25	1687	11.995403	140.58333	.1556154	.2108476	.1775268	.2966482	.3258087	2.228449
23021	"23021"	1970	0	5.6576	10	113687.8	870.85485	91593.61	2802	32.688654	280.2	.2961773	1.286241	.0807623	.770399	.1594524	1.87205
