id	code	year	hci	rca_core	export_sh	import_sh	rca_dummy
111	0111	1965	0	.0130948	.0082489	.0000509	0
111	0111	1966	0	.0000358	.0000265	.0069462	0
111	0111	1967	0	4.47e-06	3.13e-06	.0084952	0
111	0111	1968	0	0	0	.0165397	0
111	0111	1969	0	3.93e-06	2.73e-06	.0433404	0
111	0111	1970	0	0	0	.0369851	0
111	0111	1971	0	.0045802	.0031625	.0329558	0
111	0111	1972	0	.0032084	.0027788	.0128299	0
112	0112	1965	0	0	0	.0000572	0
112	0112	1966	0	0	0	.0002089	0
112	0112	1967	0	0	0	.0000629	0
112	0112	1968	0	0	0	.0000316	0
112	0112	1969	0	9.10e-06	1.61e-06	.0007053	0
112	0112	1970	0	0	0	.0000678	0
112	0112	1971	0	.2832952	.0403783	.0230351	0
112	0112	1972	0	.8433961	.138662	.0910615	0
113	0113	1965	0	.0228403	.0034651	.0000845	0
113	0113	1966	0	.0000899	.0000156	.0006271	0
113	0113	1967	0	0	0	.0004469	0
113	0113	1968	0	.0584764	.0088505	.0001261	0
113	0113	1969	0	.5532747	.1091823	.0000593	0
113	0113	1970	0	.036433	.0065507	.0000469	0
113	0113	1971	0	.0455954	.0088242	.0000287	0
113	0113	1972	0	1.369486	.3488272	.0000122	1
114	0114	1965	0	.1498194	.022534	.0000461	0
114	0114	1966	0	.043955	.0058535	.0003666	0
114	0114	1967	0	.0277508	.0028632	8.74e-06	0
114	0114	1968	0	.0079647	.0008521	.0000203	0
114	0114	1969	0	.0000109	1.13e-06	.0000177	0
114	0114	1970	0	.0004745	.0000452	.0002787	0
114	0114	1971	0	.0001115	.0000106	.0002654	0
114	0114	1972	0	.0000259	2.77e-06	.0001642	0
115	0115	1965	0	0	0	0	0
115	0115	1966	0	.0700552	.0015025	0	0
115	0115	1967	0	0	0	0	0
115	0115	1968	0	0	0	0	0
115	0115	1969	0	0	0	0	0
115	0115	1970	0	0	0	5.55e-07	0
115	0115	1971	0	0	0	0	0
115	0115	1972	0	3.45e-06	1.23e-07	0	0
116	0116	1965	0	.2674837	.0181328	0	0
116	0116	1966	0	.0024697	.0002619	0	0
116	0116	1967	0	0	0	0	0
116	0116	1968	0	0	0	1.16e-06	0
116	0116	1969	0	0	0	.0000275	0
116	0116	1970	0	0	0	0	0
116	0116	1971	0	0	0	.001033	0
116	0116	1972	0	.0441465	.0035656	0	0
118	0118	1965	0	.0181541	.0005336	.0000563	0
118	0118	1966	0	.1899749	.0071458	0	0
118	0118	1967	0	.2456095	.0082706	.0000404	0
118	0118	1968	0	.0782749	.002408	.000499	0
118	0118	1969	0	.1767074	.0053963	.0000968	0
118	0118	1970	0	.4175314	.0126663	.0002677	0
118	0118	1971	0	.3493621	.0110867	.001468	0
118	0118	1972	0	.5841074	.0202604	8.50e-06	0
121	0121	1965	0	1.137172	.0224545	.0008744	1
121	0121	1966	0	.0796895	.0190164	.0001589	0
121	0121	1967	0	.0472928	.009767	.0015665	0
121	0121	1968	0	.0063056	.0010343	.0016829	0
121	0121	1969	0	.0039018	.0005905	.0002864	0
121	0121	1970	0	4.49e-06	5.99e-07	.0005325	0
121	0121	1971	0	0	0	.0012616	0
121	0121	1972	0	.0003558	.000042	.001006	0
129	0129	1965	0	0	0	.0000701	0
129	0129	1966	0	.2815175	.0011644	.000168	0
129	0129	1967	0	.3668303	.0044047	.0003063	0
129	0129	1968	0	19.92727	.1675353	.0004171	1
129	0129	1969	0	16.45974	.1321939	.0006843	1
129	0129	1970	0	14.07823	.1360775	.0008331	1
129	0129	1971	0	23.66582	.1714165	.0016299	1
129	0129	1972	0	13.71496	.136449	.0003566	1
133	0133	1965	0	0	0	.000728	0
133	0133	1966	0	0	0	.0002516	0
133	0133	1967	0	0	0	.0007525	0
133	0133	1968	0	0	0	.0007383	0
133	0133	1969	0	.1828851	.0026165	.0001434	0
133	0133	1970	0	0	0	.0000109	0
133	0133	1971	0	0	0	.000186	0
133	0133	1972	0	.094701	.0013442	.0001052	0
134	0134	1965	0	1.300501	.0293972	.0064869	1
134	0134	1966	0	.0063539	.0001701	.0038619	0
134	0134	1967	0	.0000268	6.25e-07	.0037789	0
134	0134	1968	0	0	0	.0018517	0
134	0134	1969	0	.0013168	.0000307	.002907	0
134	0134	1970	0	.0978703	.0025146	.002099	0
134	0134	1971	0	.000032	9.37e-07	.0027591	0
134	0134	1972	0	.0203066	.0006173	.0016847	0
138	0138	1965	0	.0005838	.0001258	.037165	0
138	0138	1966	0	.016355	.0056886	.0101612	0
138	0138	1967	0	.0107347	.0035602	.0108353	0
138	0138	1968	0	.0166996	.0050643	.0041409	0
138	0138	1969	0	.0224448	.0063886	.0058589	0
138	0138	1970	0	.0273043	.0074178	.0115347	0
138	0138	1971	0	.0051853	.0015152	.0050702	0
138	0138	1972	0	.0225389	.005952	.0116688	0
221	0221	1965	0	0	0	.0048098	0
221	0221	1966	0	0	0	.0043944	0
221	0221	1967	0	0	0	.0073282	0
221	0221	1968	0	0	0	.0095331	0
221	0221	1969	0	0	0	.0047394	0
221	0221	1970	0	0	0	.0132161	0
221	0221	1971	0	0	0	.0113602	0
221	0221	1972	0	0	0	.003173	0
222	0222	1965	0	.0017923	.0002859	.6784601	0
222	0222	1966	0	.0017278	.0003405	.2844112	0
222	0222	1967	0	0	0	.0464781	0
222	0222	1968	0	0	0	.4524065	0
222	0222	1969	0	0	0	.1866162	0
222	0222	1970	0	0	0	.3344463	0
222	0222	1971	0	0	0	.3821179	0
222	0222	1972	0	6.22e-07	1.23e-07	.1390001	0
223	0223	1965	0	0	0	.0001095	0
223	0223	1966	0	.0001195	2.81e-06	.0002036	0
223	0223	1967	0	.0001693	2.50e-06	.0002442	0
223	0223	1968	0	.0000727	1.10e-06	.0000697	0
223	0223	1969	0	0	0	.0002044	0
223	0223	1970	0	0	0	.0000416	0
223	0223	1971	0	0	0	.0000185	0
223	0223	1972	0	0	0	.0085546	0
230	0230	1965	0	0	0	.0117424	0
230	0230	1966	0	0	0	.0010225	0
230	0230	1967	0	0	0	.0025392	0
230	0230	1968	0	0	0	.0106058	0
230	0230	1969	0	0	0	.0117749	0
230	0230	1970	0	0	0	.0020469	0
230	0230	1971	0	0	0	.0004978	0
230	0230	1972	0	5.33e-07	1.23e-07	.0006901	0
240	0240	1965	0	0	0	.0013006	0
240	0240	1966	0	0	0	.0011903	0
240	0240	1967	0	0	0	.0017676	0
240	0240	1968	0	1.57e-06	4.39e-07	.0015211	0
240	0240	1969	0	0	0	.0014134	0
240	0240	1970	0	0	0	.001218	0
240	0240	1971	0	3.15e-07	9.37e-08	.0014235	0
240	0240	1972	0	0	0	.0012897	0
250	0250	1965	0	0	0	4.89e-06	0
250	0250	1966	0	8.17e-06	8.02e-07	0	0
250	0250	1967	0	0	0	.0001655	0
250	0250	1968	0	.0088459	.0007974	.0001716	0
250	0250	1969	0	0	0	.0000595	0
250	0250	1970	0	4.40e-06	3.59e-07	.0000906	0
250	0250	1971	0	.0032166	.0002418	.0000816	0
