ID,year,month,day,page,kw,count
1960010100209100000 ,1960,1,1,1,"['북한 포격', '북한 피격', '북한 무력', '북한 위협', '북한 공격']",5
1960010100209100000 ,1960,1,1,2,['북한 위협'],1
1960010100209100000 ,1960,1,1,2,"['북한 침범', '북한 교란', '북한 공세']",3
1960010100209200000 ,1960,1,1,1,['북한 억류'],1
1960010300209100000 ,1960,1,3,2,['북한 위협'],1
1960010400209100000 ,1960,1,4,1,"['북한 도발', '북한 포격', '북한 피격', '북한 발사', '북한 피습']",5
1960010400209100000 ,1960,1,4,1,['북한 무력'],1
1960010500209100000 ,1960,1,5,1,"['북한 침투', '북한 전개', '북한 공세']",3
1960010700209100000 ,1960,1,7,1,"['북한 보복', '북한 무력', '북한 군사']",3
1960010700209100000 ,1960,1,7,1,['북한 군사력'],1
1960010900209200000 ,1960,1,9,3,"['북한 대남', '북한 전술', '북한 무장']",3
1960011000209200000 ,1960,1,10,1,['북한 위협'],1
1960011200209100000 ,1960,1,12,1,['북한 억류'],1
1960011200209200000 ,1960,1,12,1,['북한 배치'],1
1960011200209200000 ,1960,1,12,1,['북한 발사'],1
1960011300209100000 ,1960,1,13,1,"['북한 휴전선', '북한 배치']",2
1960011400209100000 ,1960,1,14,1,['북한 배치'],1
1960011500209100000 ,1960,1,15,3,"['북한 공격', '북한 무장']",2
1960011700209200000 ,1960,1,17,1,"['북한 침투', '북한 싸움', '북한 무력', '북한 군사력', '북한 군사', '북한 잠입', '북한 배치', '북한 전개']",8
1960011900209200000 ,1960,1,19,1,"['북한 군사력', '북한 공격', '북한 군사', '북한 재래식', '북한 무장']",5
1960012000209200000 ,1960,1,20,3,"['북한 침투', '북한 첩보 ,공작', '북한 대남', '북한 군사']",4
1960012100209200000 ,1960,1,21,1,['북한 반격'],1
1960012200209200000 ,1960,1,22,3,"['북한 첩보 ,공작', '북한 대남', '북한 휴전선', '북한 군사', '북한 무장', '북한 전개']",6
1960012400209100000 ,1960,1,24,3,"['북한 침투', '북한 대남', '북한 무장']",3
1960012800209200000 ,1960,1,28,1,['북한 미수'],1
1960013000209100000 ,1960,1,30,1,['북한 발사'],1
1960013100209100000 ,1960,1,31,3,"['북한 동원', '북한 납북']",2
1960020500209100000 ,1960,2,5,1,"['북한 침투', '북한 부상', '북한 공격']",3
1960020600209100000 ,1960,2,6,1,['북한 군사력'],1
1960020900209100000 ,1960,2,9,3,"['북한 침투', '북한 교란', '북한 군사']",3
1960021000209200000 ,1960,2,10,3,"['북한 남침', '북한 침투', '북한 대남', '북한 인민군', '북한 배치']",5
1960021400209100000 ,1960,2,14,3,['북한 진압'],1
1960022300209200000 ,1960,2,23,1,['북한 침투'],1
1960022600209100000 ,1960,2,26,1,['북한 군사'],1
1960022800209100000 ,1960,2,28,3,"['북한 침투', '북한 교란', '북한 전개']",3
1960022800209100000 ,1960,2,28,3,"['북한 침투', '북한 공세']",2
1960022800209200000 ,1960,2,28,3,['북한 교란'],1
1960030200209100000 ,1960,3,2,1,['북한 위협'],1
1960030500209100000 ,1960,3,5,1,['북한 위협'],1
1960030700209100000 ,1960,3,7,3,"['북한 교전', '북한 침투', '북한 사격', '북한 심리전', '북한 무장', '북한 대원']",6
