year,article_matches_infantry,total_articles_published,article_matches_troop,article_matches_carter,article_matches_ford
1945,0,126247,0,0,0
1946,0,143369,1,0,0
1947,1,154971,1,0,0
1948,0,154174,1,0,0
1949,0,158579,2,0,0
1950,16,161337,3,0,0
1951,1,162389,6,0,0
1952,1,159337,5,0,0
1953,2,150914,3,0,0
1954,1,146799,7,0,0
1955,0,144163,1,0,0
1956,0,143920,1,0,0
1957,0,142145,0,0,0
1958,0,144109,3,0,0
1959,0,147561,0,0,0
1960,0,145355,0,0,0
1961,0,140899,0,0,0
1962,0,138690,0,0,0
1963,0,114966,1,0,0
1964,0,134086,0,0,0
1965,0,120525,0,0,0
1966,3,130449,0,0,1
1967,9,122222,0,0,0
1968,19,119768,0,0,0
1969,1,109146,4,0,0
1970,6,102665,6,0,0
1971,3,94470,5,0,0
1972,0,96540,1,0,0
1973,1,97773,1,0,1
1974,1,97442,0,1,1
1975,7,96332,1,2,5
1976,1,91948,5,66,5
1977,27,92230,30,25,2
1978,11,65120,9,10,2
1979,3,81143,3,8,1
1980,4,126925,1,17,1
1981,2,91019,0,9,0
1982,3,92574,1,1,1
1983,2,97203,1,5,0
