"","cccn","restrictions","productcode","sic","sic_label","id","year","import","tariff","qr","hci","chemicals","patroleum","primary_metal","mfg_metal","machines","electric_eq","transport_eq"
"1",1001,"000000",102,111,"Wheat",1,68,"62.8",10,0,0,0,0,0,0,0,0,0
"2",1001,"000000",102,111,"Wheat",1,74,"297.6",10,0,0,0,0,0,0,0,0,0
"3",1001,"000000",102,111,"Wheat",1,76,"276",10,0,0,0,0,0,0,0,0,0
"4",1001,"000000",102,111,"Wheat",1,78,"235.4",10,0,0,0,0,0,0,0,0,0
"5",1001,"000000",102,111,"Wheat",1,80,"366.6",10,0,0,0,0,0,0,0,0,0
"6",1001,"000000",102,111,"Wheat",1,82,"347.5",10,0,0,0,0,0,0,0,0,0
"7",1006,"000000",103,112,"Rice",2,68,"43.3",25,0,0,0,0,0,0,0,0,0
"8",1006,"000000",103,112,"Rice",2,74,"153.1",20,0,0,0,0,0,0,0,0,0
"9",1006,"000000",103,112,"Rice",2,76,"47",20,0,0,0,0,0,0,0,0,0
"10",1006,"000000",103,112,"Rice",2,78,"0.6",20,0,0,0,0,0,0,0,0,0
"11",1006,"000000",103,112,"Rice",2,80,"328.4",5,0,0,0,0,0,0,0,0,0
"12",1006,"000000",103,112,"Rice",2,82,"102.5",5,0,0,0,0,0,0,0,0,0
"13",1005,"000000",104,115,"Corn",3,68,"0.8",50,0,0,0,0,0,0,0,0,0
"14",1005,"000000",104,115,"Corn",3,74,"66.5",15,0,0,0,0,0,0,0,0,0
"15",1005,"000000",104,115,"Corn",3,76,"124.2",20,0,0,0,0,0,0,0,0,0
"16",1005,"000000",104,115,"Corn",3,78,"230.8",20,0,0,0,0,0,0,0,0,0
"17",1005,"000000",104,115,"Corn",3,80,"376.2",20,0,0,0,0,0,0,0,0,0
"18",1005,"000000",104,115,"Corn",3,82,"384.9",20,0,0,0,0,0,0,0,0,0
"19",1201,"111111",110,116,"Soybeans",4,68,"1.7",40,1,0,0,0,0,0,0,0,0
"20",1201,"111111",110,116,"Soybeans",4,74,"19.3",40,1,0,0,0,0,0,0,0,0
"21",1201,"111111",110,116,"Soybeans",4,76,"45.2",35,1,0,0,0,0,0,0,0,0
"22",1201,"111111",110,116,"Soybeans",4,78,"77.8",30,1,0,0,0,0,0,0,0,0
"23",1201,"111111",110,116,"Soybeans",4,80,"197.5",20,1,0,0,0,0,0,0,0,0
"24",1201,"111111",110,116,"Soybeans",4,82,"175.3",20,1,0,0,0,0,0,0,0,0
"25",701,"011111",100,119,"Cash grains, nspf",5,68,"0",40,0,0,0,0,0,0,0,0,0
"26",705,"000000",100,119,"Cash grains, nspf",6,68,"0",40,0,0,0,0,0,0,0,0,0
"27",1002,"000000",100,119,"Cash grains, nspf",7,68,"0",25,0,0,0,0,0,0,0,0,0
"28",1003,"000000",100,119,"Cash grains, nspf",8,68,"11.8",25,0,0,0,0,0,0,0,0,0
"29",1004,"000000",100,119,"Cash grains, nspf",9,68,"0",25,0,0,0,0,0,0,0,0,0
"30",1007,"000000",100,119,"Cash grains, nspf",10,68,"2.2",25,0,0,0,0,0,0,0,0,0
"31",1201,"111111",110,119,"Cash grains, nspf",11,68,"1.7",40,1,0,0,0,0,0,0,0,0
"32",701,"011111",100,119,"Cash grains, nspf",5,74,"0",40,1,0,0,0,0,0,0,0,0
"33",705,"000000",100,119,"Cash grains, nspf",6,74,"0",40,0,0,0,0,0,0,0,0,0
"34",1002,"000000",100,119,"Cash grains, nspf",7,74,"0",20,0,0,0,0,0,0,0,0,0
"35",1003,"000000",100,119,"Cash grains, nspf",8,74,"84.5",10,0,0,0,0,0,0,0,0,0
"36",1004,"000000",100,119,"Cash grains, nspf",9,74,"0",20,0,0,0,0,0,0,0,0,0
"37",1007,"000000",100,119,"Cash grains, nspf",10,74,"6.6",20,0,0,0,0,0,0,0,0,0
"38",1201,"111111",110,119,"Cash grains, nspf",11,74,"19.3",40,1,0,0,0,0,0,0,0,0
"39",701,"011111",100,119,"Cash grains, nspf",5,76,"0",40,1,0,0,0,0,0,0,0,0
"40",705,"000000",100,119,"Cash grains, nspf",6,76,"0.1",40,0,0,0,0,0,0,0,0,0
"41",1002,"000000",100,119,"Cash grains, nspf",7,76,"0",25,0,0,0,0,0,0,0,0,0
"42",1003,"000000",100,119,"Cash grains, nspf",8,76,"0.8",10,0,0,0,0,0,0,0,0,0
"43",1004,"000000",100,119,"Cash grains, nspf",9,76,"0",20,0,0,0,0,0,0,0,0,0
"44",1007,"000000",100,119,"Cash grains, nspf",10,76,"4.5",20,0,0,0,0,0,0,0,0,0
"45",1201,"111111",110,119,"Cash grains, nspf",11,76,"45.2",35,1,0,0,0,0,0,0,0,0
"46",701,"011111",100,119,"Cash grains, nspf",5,78,"12.3",30,1,0,0,0,0,0,0,0,0
"47",705,"000000",100,119,"Cash grains, nspf",6,78,"0.8",30,0,0,0,0,0,0,0,0,0
"48",1002,"000000",100,119,"Cash grains, nspf",7,78,"0",20,0,0,0,0,0,0,0,0,0
"49",1003,"000000",100,119,"Cash grains, nspf",8,78,"12.9",30,0,0,0,0,0,0,0,0,0
"50",1004,"000000",100,119,"Cash grains, nspf",9,78,"0",20,0,0,0,0,0,0,0,0,0
"51",1007,"000000",100,119,"Cash grains, nspf",10,78,"0",20,0,0,0,0,0,0,0,0,0
"52",1201,"111111",110,119,"Cash grains, nspf",11,78,"77.8",30,1,0,0,0,0,0,0,0,0
"53",701,"011111",100,119,"Cash grains, nspf",5,80,"0.6",30,1,0,0,0,0,0,0,0,0
"54",705,"000000",100,119,"Cash grains, nspf",6,80,"4.5",30,0,0,0,0,0,0,0,0,0
"55",1002,"000000",100,119,"Cash grains, nspf",7,80,"0",20,0,0,0,0,0,0,0,0,0
"56",1003,"000000",100,119,"Cash grains, nspf",8,80,"0",23,0,0,0,0,0,0,0,0,0
"57",1004,"000000",100,119,"Cash grains, nspf",9,80,"0",20,0,0,0,0,0,0,0,0,0
"58",1007,"000000",100,119,"Cash grains, nspf",10,80,"1.9",20,0,0,0,0,0,0,0,0,0
"59",1201,"111111",110,119,"Cash grains, nspf",11,80,"197.5",20,1,0,0,0,0,0,0,0,0
"60",701,"011111",100,119,"Cash grains, nspf",5,82,"3.4",30,1,0,0,0,0,0,0,0,0
"61",705,"000000",100,119,"Cash grains, nspf",6,82,"2.9",30,0,0,0,0,0,0,0,0,0
"62",1002,"000000",100,119,"Cash grains, nspf",7,82,"0",20,0,0,0,0,0,0,0,0,0
"63",1003,"000000",100,119,"Cash grains, nspf",8,82,"0",23,0,0,0,0,0,0,0,0,0
"64",1004,"000000",100,119,"Cash grains, nspf",9,82,"0",20,0,0,0,0,0,0,0,0,0
"65",1007,"000000",100,119,"Cash grains, nspf",10,82,"51.9",20,0,0,0,0,0,0,0,0,0
"66",1201,"111111",110,119,"Cash grains, nspf",11,82,"175.3",20,1,0,0,0,0,0,0,0,0
"67",1201,"111111",110,131,"Cotton & cottonseed",12,68,"1.7",40,1,0,0,0,0,0,0,0,0
"68",5501,"000000",207,131,"Cotton & cottonseed",13,68,"49.1",10,0,0,0,0,0,0,0,0,0
"69",1201,"111111",110,131,"Cotton & cottonseed",12,74,"19.3",40,1,0,0,0,0,0,0,0,0
"70",5501,"000000",207,131,"Cotton & cottonseed",13,74,"189.4",10,0,0,0,0,0,0,0,0,0
"71",1201,"111111",110,131,"Cotton & cottonseed",12,76,"45.2",35,1,0,0,0,0,0,0,0,0
"72",5501,"000000",207,131,"Cotton & cottonseed",13,76,"307.7",0,0,0,0,0,0,0,0,0,0
"73",1201,"111111",110,131,"Cotton & cottonseed",12,78,"77.8",30,1,0,0,0,0,0,0,0,0
"74",5501,"000000",207,131,"Cotton & cottonseed",13,78,"447.5",20,0,0,0,0,0,0,0,0,0
"75",1201,"111111",110,131,"Cotton & cottonseed",12,80,"197.5",20,1,0,0,0,0,0,0,0,0
"76",5501,"000000",207,131,"Cotton & cottonseed",13,80,"604.1",5,0,0,0,0,0,0,0,0,0
"77",1201,"111111",110,131,"Cotton & cottonseed",12,82,"175.3",20,1,0,0,0,0,0,0,0,0
"78",5501,"000000",207,131,"Cotton & cottonseed",13,82,"529.1",5,0,0,0,0,0,0,0,0,0
"79",2401,"222222",202,132,"Tobacco",14,68,"0.7",60,2,0,0,0,0,0,0,0,0
"80",2401,"222222",202,132,"Tobacco",14,74,"9.9",60,2,0,0,0,0,0,0,0,0
"81",2401,"222222",202,132,"Tobacco",14,76,"27.4",60,2,0,0,0,0,0,0,0,0
"82",2401,"222222",202,132,"Tobacco",14,78,"45",60,2,0,0,0,0,0,0,0,0
"83",2401,"222222",202,132,"Tobacco",14,80,"78",60,2,0,0,0,0,0,0,0,0
"84",2401,"222222",202,132,"Tobacco",14,82,"8.1",60,2,0,0,0,0,0,0,0,0
"85",1203,"111111",201,133,"Sugarcane & sugar beets",15,68,"0.3",10,1,0,0,0,0,0,0,0,0
"86",1204,"000000",100,133,"Sugarcane & sugar beets",16,68,"0",20,0,0,0,0,0,0,0,0,0
"87",1203,"111111",201,133,"Sugarcane & sugar beets",15,74,"0.4",10,1,0,0,0,0,0,0,0,0
"88",1204,"000000",100,133,"Sugarcane & sugar beets",16,74,"0",20,0,0,0,0,0,0,0,0,0
"89",1203,"111111",201,133,"Sugarcane & sugar beets",15,76,"0.4",20,1,0,0,0,0,0,0,0,0
"90",1204,"000000",100,133,"Sugarcane & sugar beets",16,76,"0",20,0,0,0,0,0,0,0,0,0
"91",1203,"111111",201,133,"Sugarcane & sugar beets",15,78,"1.2",20,1,0,0,0,0,0,0,0,0
"92",1204,"000000",100,133,"Sugarcane & sugar beets",16,78,"0",20,0,0,0,0,0,0,0,0,0
"93",1203,"111111",201,133,"Sugarcane & sugar beets",15,80,"1.5",0,1,0,0,0,0,0,0,0,0
"94",1204,"000000",100,133,"Sugarcane & sugar beets",16,80,"0",20,0,0,0,0,0,0,0,0,0
"95",1203,"111111",201,133,"Sugarcane & sugar beets",15,82,"3.7",0,1,0,0,0,0,0,0,0,0
"96",1204,"000000",100,133,"Sugarcane & sugar beets",16,82,"0",20,0,0,0,0,0,0,0,0,0
"97",701,"011111",100,134,"Potatoes, white or irish",17,68,"0",40,0,0,0,0,0,0,0,0,0
"98",701,"011111",100,134,"Potatoes, white or irish",17,74,"0",40,1,0,0,0,0,0,0,0,0
"99",701,"011111",100,134,"Potatoes, white or irish",17,76,"0",40,1,0,0,0,0,0,0,0,0
"100",701,"011111",100,134,"Potatoes, white or irish",17,78,"12.3",30,1,0,0,0,0,0,0,0,0
"101",701,"011111",100,134,"Potatoes, white or irish",17,80,"0.6",30,1,0,0,0,0,0,0,0,0
